Exercise ID,Category,Exercise Name,Matched YouTube Video,Video URL,Confidence,Match Notes
147,Arm Care,Rice Bag,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
427,Arm Care,SS Banded Serratus Slides,Split Stance Banded Serratus Slides,https://www.youtube.com/watch?v=HiYUemffOY4,High,SS expanded to Split Stance.
429,Arm Care,Scapular Pikes,Scapular Pikes,https://www.youtube.com/watch?v=Y3N6Kg1M8EA,High,Exact name match.
62,Arm Care,Shoulder Tube Throws,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
201,Arm Care,Supination/Pronation ISO Hold,Pronation and Supination ISO Hold,https://www.youtube.com/watch?v=WBoAYbs06Y8,High,Same terms in reversed order.
423,Arm Care,Supination/Pronation ISO with Cable,Supination/Pronation ISO Hold with Cable,https://www.youtube.com/watch?v=yhEOrTORpDk,High,Same exercise with Hold included in video title.
134,Arm Care,Tripod T-Dribbles,Tripod T Dribbles,https://www.youtube.com/watch?v=aDLvCFLaBDY,High,Punctuation difference only.
197,Arm Care,Upward Tosses,Upward Tosses,https://www.youtube.com/watch?v=hzjRL057U90,High,Exact name match.
202,Arm Care,WB 90/90 Pertubations,90/90 Pertubations,https://www.youtube.com/watch?v=DfBCxCyWoGw,High,Same exercise; WB omitted from video title.
424,Arm Care,WB Push-Pull Hold,WB Push-Pull Hold,https://www.youtube.com/watch?v=50UaUGTvXKo,High,Exact name match.
416,Arm Care,WB Sidelying Armbar,WB Side Lying Arm Bar,https://www.youtube.com/watch?v=IHr3Eh0FSp4,High,Spacing difference only.
200,Arm Care,WB/KB Waiter Carry (ABD),Waiter Carry (Abduction),https://www.youtube.com/watch?v=AplON3oWMDw,High,Same movement; WB/KB omitted from video title.
102,Assessment,Seated Hip External Rotation,Hip ER Test,https://www.youtube.com/watch?v=3G7uSUzxpXA,High,ER is external rotation; assessment context matches.
101,Assessment,Seated Hip Internal Rotation,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
4357,Cardio,10 yd Shuffle to 20 yd Sprint (L shape),Shuffle Shuffle to 20 Yard Sprint,https://www.youtube.com/watch?v=CBr2Kh4dL9k,High,Same shuffle-to-20-yard-sprint pattern.
358,Cardio,100 Yard Shuttle,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
146,Cardio,100 Yard Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
145,Cardio,20-30 Yard Falling Start,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
144,Cardio,20-30 Yard Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
357,Cardio,200 Yard Shuttle,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
143,Cardio,300 Yard Shuttle,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
389,Cardio,30yd sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
1303,Cardio,40yd Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
241,Cardio,5-10-5 Shuffle,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
240,Cardio,5-10-5 Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
244,Cardio,50 Yard Shuttle,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
142,Cardio,60 Yard Build Ups,60 Yard Build Up Explanation,https://www.youtube.com/watch?v=DNDNcz-r-9A,High,Same 60-yard build-up exercise.
359,Cardio,Backpedal to Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
242,Cardio,Curved Sprints,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
243,Cardio,Lightning Bolts,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
8004,Cardio,Parking Lot Laps,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
239,Cardio,Quarter Mile Repeats,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
361,Cardio,Reverse Sled Drag,Sled Pull,https://www.youtube.com/watch?v=pI793Ap0c6M,Low,Could be the reverse sled-drag variation; title is not specific.
4359,Cardio,Running Intervals,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
356,Cardio,Shuffle Shuffle Sprint,Shuffle Shuffle to 20 Yard Sprint,https://www.youtube.com/watch?v=CBr2Kh4dL9k,High,Same exercise with distance added in video title.
245,Cardio,Sled Push,Explosive Sled Push,https://www.youtube.com/watch?v=uOU9oTaooCc,High,Same sled-push movement.
248,Cardio,Sled Sprints,Explosive Sled Push,https://www.youtube.com/watch?v=uOU9oTaooCc,Medium,"Likely sprint-style sled push, but title uses Push rather than Sprint."
247,Cardio,Sled Walk Backs,Sled Pull,https://www.youtube.com/watch?v=pI793Ap0c6M,Low,Could show the walk-back variation; title is not specific.
4358,Cardio,Speed Skater to 20yd Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
246,Cardio,Walking Crossover Step with Sled,Sled Pull,https://www.youtube.com/watch?v=pI793Ap0c6M,Low,Thumbnail shows a lateral pulling pattern that may match the crossover-step variation.
183,Cardio,Zone 2 Bike Ride,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
297,Jumps and Agility,1-Leg Depth Drop,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
393,Jumps and Agility,1-Leg Jump on Low Box,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
394,Jumps and Agility,1-Leg Jump on Low Box,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
229,Jumps and Agility,10yd Sprint,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7993,Jumps and Agility,Box Jump with 1-Leg Landing,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
344,Jumps and Agility,Depth Drop to Box Jump,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
194,Jumps and Agility,Pogos,Pogos,https://www.youtube.com/watch?v=jKIRsCa7MiU,High,Exact name match.
187,Jumps and Agility,Speed Skaters with Stick,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
42,Jumps and Agility,Triple Hurdle Jump,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
332,Lifting,1--Arm DB Row (Speed),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
8,Lifting,1-Arm DB Chest Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
5,Lifting,1-Arm DB Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7991,Lifting,1-Arm Front Rack KB Walk,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
86,Lifting,1-Arm Half Kneeling Landmine Press,Half Kneeling Landmine Press,https://www.youtube.com/watch?v=h55BH8aqhXY,High,Same movement; one-arm wording omitted.
12,Lifting,1-Arm Incline DB Chest Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
411,Lifting,1-Arm Jammer Press with Rotation,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
299,Lifting,1-Arm KB Lateral Lunge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
92,Lifting,1-Arm Landmine Press with Rotation,Landmine Press with Rotation,https://www.youtube.com/watch?v=nYyALCpmJTk,High,Same movement; one-arm wording omitted.
88,Lifting,1-Arm Landmine Row,1-Arm Landmine Row,https://www.youtube.com/watch?v=snhZkSpJKzo,High,Exact name match.
89,Lifting,1-Arm Landmine Row to Press with Rotation,Landmine Row to Press with Rotation,https://www.youtube.com/watch?v=-cB427b3xbA,High,Same movement; one-arm wording omitted.
16,Lifting,1-Arm Lat Pulldown with Cable,Half Kneeling 1-Arm Cable Pulldown,https://www.youtube.com/watch?v=KwQmOGWHiFI,Medium,Same one-arm cable pulldown; exercise title does not specify half kneeling.
402,Lifting,1-Arm Side Plank Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
329,Lifting,1-Arm Split Stance Banded Row (Speed),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
14,Lifting,1-Arm Split Stance Cable Press,1-Arm SS Cable Press with Rotation,https://www.youtube.com/watch?v=LtSD_S792EU,Medium,Same split-stance cable press; video specifies rotation.
13,Lifting,1-Arm Split Stance Cable Row,Split Stance Cable Row,https://www.youtube.com/watch?v=OvTJEPB7Aa0,High,Same movement; one-arm wording omitted.
87,Lifting,1-Arm Split Stance Landmine Press,Split Stance Landmine Press,https://www.youtube.com/watch?v=E0OTEOs0N5k,High,Same movement; one-arm wording omitted.
17,Lifting,1-Arm Split Stance Low Cable Row,Low Setting Split Stance Cable Row,https://www.youtube.com/watch?v=nApLz6bk4C4,High,Same low cable-row setup; one-arm wording omitted.
81,Lifting,1-Leg Barbell RDL,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
9,Lifting,1-Leg DB RDL,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
136,Lifting,1-Leg Deadlift,1-Leg Deadlift,https://www.youtube.com/watch?v=YG-bjkLMH3M,High,Exact name match.
7988,Lifting,1-Leg Glute Bridge,1-Leg Glute Bridge,https://www.youtube.com/watch?v=a2QH7NKtQCg,High,Exact name match.
91,Lifting,1-Leg Landmine RDL,1-Leg Landmine RDL,https://www.youtube.com/watch?v=5Uj-mZSMlvc,High,Exact name match.
398,Lifting,1-Leg RDL to 1-Arm Cable Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
337,Lifting,3D Strap Cross Connect Lateral Lunge,3D Strap Lateral Lunge,https://www.youtube.com/watch?v=Z5fXBuRfByY,High,Same strap lateral-lunge movement; Cross Connect omitted.
322,Lifting,Ab Rollouts,Ab Rollout,https://www.youtube.com/watch?v=JgWMclXyWXI,High,Singular/plural wording difference only.
7990,Lifting,Alternating DB Chest Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
325,Lifting,Band Assisted Push-Up,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7985,Lifting,Band Assisted Split Squat Jumps (Alternating),Band Assisted Split Squat Jumps,https://www.youtube.com/watch?v=hpJkPIHGBcM,High,Same exercise; Alternating omitted.
324,Lifting,Banded Bird Dog,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
98,Lifting,Banded Deadbugs,Banded Dead Bugs,https://www.youtube.com/watch?v=6LuQJnve6Q4,High,Spacing difference only.
188,Lifting,Banded Glute Bridge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
317,Lifting,Banded Lateral Lunge Rebound,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
95,Lifting,Banded Push-Up,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
189,Lifting,Banded Side Steps,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
85,Lifting,Bent Over Barbell Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
190,Lifting,Body Saw with Sliders,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
157,Lifting,Cable Face Pulls,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
407,Lifting,Cable Pull Thru with Rope,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
153,Lifting,Chin-Up Hold,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
135,Lifting,DB Bird Dog Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7,Lifting,DB Chest Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
33,Lifting,DB Lateral Lunge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
151,Lifting,DB RDL,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
78,Lifting,DB Reverse Lunge,DB Reverse Lunge,https://www.youtube.com/watch?v=17zJ48uN734,High,Exact name match.
79,Lifting,DB Split Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
323,Lifting,DB Split Stance Row with Rotation,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
321,Lifting,DB Step Up with Jump,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
396,Lifting,Deadbugs,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
327,Lifting,Drop Catch Bent Over Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
335,Lifting,Drop Catch Bicep Curl,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
412,Lifting,Explosive Inverted Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
334,Lifting,Explosive Row with Sled,Explosive Rows With Sled,https://www.youtube.com/watch?v=mhNmqH-4oII,High,Singular/plural wording difference only.
338,Lifting,Glider Split Rollouts,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
270,Lifting,Half Kneel Bottoms Up KB Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
213,Lifting,Half Kneel Cable Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
405,Lifting,Half Kneeling Cable Pulldown,Half Kneeling 1-Arm Cable Pulldown,https://www.youtube.com/watch?v=KwQmOGWHiFI,High,Same movement; one-arm added in video title.
94,Lifting,Half Kneeling KB Press (Bottoms Up),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
319,Lifting,Half Kneeling Low to High Chop with Rope,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
93,Lifting,Half Kneeling Pallof Press with OH Reach,Half Kneeling Pallof Press with OH Reach,https://www.youtube.com/watch?v=iVuohXj6KYo,High,Exact name match.
406,Lifting,Half Kneeling Single Arm Cable Pulldown,Half Kneeling 1-Arm Cable Pulldown,https://www.youtube.com/watch?v=KwQmOGWHiFI,High,Same movement; 1-Arm and Single Arm are equivalent.
342,Lifting,Heel Elevated Squat ISO,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
11,Lifting,Incline DB Chest Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
10,Lifting,Incline DB Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
410,Lifting,Jammer Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
218,Lifting,KB Early Armbar,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7994,Lifting,KB Goblet Split Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7987,Lifting,KB Lateral Lunge Drop Catch,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
415,Lifting,KB Reverse Lunge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
395,Lifting,KB Step Ups,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
328,Lifting,KB/DB Pullover,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
397,Lifting,Landmine Lateral Lunge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7999,Lifting,Landmine Split Jerk,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
340,Lifting,MB Bear Hug Cable Rotation,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
211,Lifting,MB Drop Catch to Box Heel Elevated,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
6,Lifting,Multi-Grip Bench Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
326,Lifting,Multi-Grip Bench Press (1.0-1.3),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
336,Lifting,OH Tricep Extension with Rope,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
275,Lifting,Offset Push Up with Handles,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
19,Lifting,Pallof Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
413,Lifting,Pallof Press ISO,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
191,Lifting,Prone Hand Step Ups,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
154,Lifting,Prone Plank,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
96,Lifting,Prone Shoulder Taps,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
15,Lifting,Push-Pull with Cables,Push-Pull with Cables,https://www.youtube.com/watch?v=OVagXVbpINQ,High,Exact name match.
152,Lifting,Push-Up,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
339,Lifting,Push-Up Depth Drop,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
333,Lifting,Push-Up onto Box,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
97,Lifting,Reverse Crunch,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
141,Lifting,Reverse Curls,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
435,Lifting,SSB Split Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
80,Lifting,Safety Bar Reverse Lunge,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
77,Lifting,Safety Bar Split  Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7986,Lifting,Safety Bar Split Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
4,Lifting,Safety Bar Squat,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
3040,Lifting,Short Staggered Landmine Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
155,Lifting,Side Plank,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
280,Lifting,Single Arm DB Bench Press,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
90,Lifting,Split Stance Barbell Rotation,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
298,Lifting,Split Stance High to Low Chop with Rope,Split Stance Cable Chop with Rope,https://www.youtube.com/watch?v=rIAxmViuATw,High,Same split-stance high-to-low cable chop.
156,Lifting,Stability Ball Sit-Up,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
210,Lifting,Staggered Cable Press (same foot forward),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
414,Lifting,Staggered Stance 1-Arm Low Cable Row,Low Setting Split Stance Cable Row,https://www.youtube.com/watch?v=nApLz6bk4C4,Medium,Likely same low cable-row pattern; stance wording differs.
315,Lifting,Staggered Stance Trap Bar Deadlift (0.7-0.9),,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
408,Lifting,Standing Low to High Cable Chop with Rope,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
316,Lifting,Step Back to 1-Arm KB Swing,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
82,Lifting,Stiff-Legged Barbell RDL,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
330,Lifting,Stir the Pot,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
318,Lifting,TRX Fallouts,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7992,Lifting,TRX Inverted Row,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
193,Lifting,TRX Y's,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
3,Lifting,Trap Bar Deadlift,Trap Bar Deadlift,https://www.youtube.com/watch?v=t35OQvoKjUA,High,Exact name match.
84,Lifting,Trap Bar Deadlift Jumps,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
18,Lifting,Wide Stance Anti-Rotation with Rope,Wide Stance Anti-Rotation with Rope,https://www.youtube.com/watch?v=sYNrXUQ1P1Y,High,Exact name match.
401,Lifting,Yoga Push-Up,Yoga Push-Up,https://www.youtube.com/watch?v=tx4he_G-pEc,High,Exact name match.
403,Lifting,Zottman Curls,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
20,Medicine Ball,1-Leg MB Slam,1-Leg MB Slam,https://www.youtube.com/watch?v=QRw_fBHXSl0,High,Exact name match.
400,Medicine Ball,Half Kneeling OH MB Throw,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
100,Medicine Ball,MB Dribble Series,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7989,Medicine Ball,MB Drop Step Shotput Throw,MB Drop Step to Shotput Throw,https://www.youtube.com/watch?v=x02wkq-tqkg,High,Same medicine-ball drop-step shotput throw.
26,Medicine Ball,MB Granny Toss,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
215,Medicine Ball,Medball Chest Pass,Rapid MB Chest Pass,https://www.youtube.com/watch?v=soZZFSVQMlU,Medium,Same chest-pass movement; video is the rapid variation.
331,Medicine Ball,OH MB Throw from SB,OH Throw on Stability Ball,https://www.youtube.com/watch?v=zaeyivZA79I,High,SB expanded to Stability Ball; same overhead throw.
27,Medicine Ball,Posterior Step Back MB Scoop Toss,Step Back Scoop Toss,https://www.youtube.com/watch?v=ZbMpLBvEgK4,High,Same posterior step-back scoop toss; MB omitted.
21,Medicine Ball,Rapid MB Chest Pass,Rapid MB Chest Pass,https://www.youtube.com/watch?v=soZZFSVQMlU,High,Exact name match.
24,Medicine Ball,Rocker MB Slam,MB Rocker Slam on Mound,https://www.youtube.com/watch?v=0A-DJLVv8fE,High,Same rocker medicine-ball slam; location added.
192,Medicine Ball,SS Anti-Rotation Scoop Toss,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
22,Medicine Ball,Side to Side Scoop Toss,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
320,Medicine Ball,Staggered MB Slam,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
399,Medicine Ball,Staggered stance MB Scoop Toss,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
25,Medicine Ball,Step Back MB Shotput Throw,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
4360,Medicine Ball,WB Anterior Step Forward Throw,Anterior Step Forward Throw,https://www.youtube.com/watch?v=smFa4P1SO08,High,Same movement; WB omitted from video title.
4361,Medicine Ball,WB Kikuchi Staggered Hinge Drill,Water Bag Staggered Hinge Drill,https://www.youtube.com/watch?v=DFG8r4qB0RM,High,Same WB staggered-hinge drill; Kikuchi omitted.
409,Medicine Ball,WB Long Rotations,Front Loaded WB Rotations with Recoil,https://www.youtube.com/watch?v=UZ47Eh24sDo,Medium,Likely the long water-bag rotation variation; title is more specific.
4362,Medicine Ball,WB Posterior Step Back Throw,Posterior Step Back with MB,https://www.youtube.com/watch?v=ZkbOVwQuJnY,High,Same posterior step-back pattern; video uses MB rather than WB.
99,Medicine Ball,Wave Throws,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
3913,Mobility,3/4 SIdelying Breathing,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
30,Mobility,3D Cat/Dog,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
366,Mobility,3D Strap Airplanes,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
223,Mobility,3D Strap Rotations,3D Strap Pelvis Rotations,https://www.youtube.com/watch?v=JUs_E9RaYZM,Medium,Likely the same 3D Strap rotation family; video specifies pelvis.
166,Mobility,90/90 Hip Switches,Hip 90/90 to Single Leg Flow,https://www.youtube.com/watch?v=4mYTNH5AcWc,Low,"Likely contains 90/90 hip switches, but video title describes a broader flow."
368,Mobility,Band Assisted T-Spine Rotation,Band Assisted T-Spine Rotation,https://www.youtube.com/watch?v=di3LsqQ4drI,High,Exact name match.
236,Mobility,Band Zercher Hold,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
29,Mobility,Banded Cat/Dog,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
263,Mobility,Banded Hip Distraction,Banded Hip IR Distraction,https://www.youtube.com/watch?v=xt9FyzRhTsU,Medium,Same banded hip-distraction family; video specifies internal rotation.
28,Mobility,Banded Jefferson Curl,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
252,Mobility,Bretzel,Bretzel Stretch,https://www.youtube.com/watch?v=Fjy7DoRaRVg,High,Same stretch; Stretch added in video title.
304,Mobility,Cat/Dog Stretch,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
314,Mobility,Cobra Stretch,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
208,Mobility,Couch Stretch,Couch Stretch,https://www.youtube.com/watch?v=wzhu1c0Tbqc,High,Exact name match.
7078,Mobility,Cross Connect Lateral Lunge Iso Hold,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
309,Mobility,Crossover Side Bend,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
300,Mobility,Frog Pose,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
305,Mobility,Gingerbread Stretch,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
7998,Mobility,Half Kneeling 1-arm Reach,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
390,Mobility,Half Kneeling Banded Reach with Breath,,,No match found,No sufficiently reliable match found on the Pitching Coach U channel.
