ABI_WIL	Abilene Christian University
ETS_BUC	East Tennessee State University
EVA_ACE	University of Evansville
FAI_STA	FAI_STA
FAU_OWL	Florida Atlantic University
FDU_KNI	FDU_KNI
FEL_UNI	FEL_UNI
FER_COL	FER_COL
FGCU	Florida Gulf Coast University
FLA_GAT	University of Florida
FLO_PAN	Florida International University
FLO_RAT	FLO_RAT
FLO_SEM	Florida State University
FLO_SOU3	FLO_SOU3
FNT_COM	FNT_COM
FOR_RAM	FOR_RAM
FRA_COL	FRA_COL
FRA_MAR1	FRA_MAR1
FRE_BUL	California State University, Fresno
FRE_PAC	FRE_PAC
GAL_WCS	GAL_WCS
GAR_RUN	GAR_RUN
GAS_COL	GAS_COL
GEO_BUL	University of Georgia
GEO_COL	GEO_COL
GEO_COL1	GEO_COL1
GEO_EAG	Georgia Southern University
GEO_FOX	GEO_FOX
GEO_GWI	GEO_GWI
GEO_HOY	GEO_HOY
GEO_PAN	Georgia State University
GEO_PAT	GEO_PAT
GEO_SOU	GEO_SOU
GIT_YEL	Georgia Institute of Technology
GON_BUL	Gonzaga University
GRA_CAN	GRA_CAN
GRA_COL	GRA_COL
GRA_HAR	GRA_HAR
GRA_TIG	GRA_TIG
GUL_COM	GUL_COM
Gol_W	GOL_W
HAR_CRI	HAR_CRI
HAW_HIL	HAW_HIL
HAW_PAC	HAW_PAC
HAW_WAR	HAW_WAR
HBU_HUS	Houston Christian University
HEN_COL	HEN_COL
HEN_RED	HEN_RED
HIG_COM3	HIG_COM3
HIG_PAN	HIG_PAN
HIL_COL2	HIL_COL2
HOF_PRI	Hofstra University
HOL_CRU	HOL_CRU
HOO_COL	HOO_COL
HOU_COU	University of Houston
HUT_COM	HUT_COM
ILL_ILL	University of Illinois Urbana-Champaign
ILL_RED	Illinois State University
ILL_TEC	ILL_TEC
ILL_WES	ILL_WES
IMM_UNI	IMM_UNI
IND_SYC	Indiana State University
IND_TEC	IND_TEC
IND_UNI	IND_UNI
IND_UNI1	IND_UNI1
IND_UNI2	IND_UNI2
ION_GAE	ION_GAE
IOW_CEN	IOW_CEN
IOW_HAW	University of Iowa
IU	Indiana University Bloomington
IWC	IWC
IlI_SPR	ILI_SPR
Irv_Val	IRV_VAL
JAC_GAM	Jackson State University
JAC_TIG	JAC_TIG
JES_UNI	JES_UNI
JMU_DUK	James Madison University
JOH_LOG	JOH_LOG
JOH_UNI	JOH_UNI
JON_COL	JON_COL
JUD	JUD
JUN_COL	JUN_COL
KAL_COL	KAL_COL
KAN_C	KAN_C
KAN_JAY	University of Kansas
KAN_WIL	KAN_WIL
KEN_OWL	KEN_OWL
KEN_WIL	University of Kentucky
KIN_UNI	KIN_UNI
KS_GF	KS_GF
LAF_LEP	LAF_LEP
LAK_ERI21	LAK_ERI21
LAM_CAR	LAM_CAR
LAN_BEA	LAN_BEA
LAS_EXS	LAS_EXS
LEB_VAL	LEB_VAL
LEE_UNI	LEE_UNI
LEH_MOU	Lehigh University
LEN_BEA	LEN_BEA
LET_UNI	LET_UNI
LIB_FLA	Liberty University
LIN_MEM	LIN_MEM
LIN_UNI	LIN_UNI
LIN_WIL1	LIN_WIL1
LIP_BIS	LIP_BIS
LIT_TRO	University of Arkansas at Little Rock
LOC_HAV	LOC_HAV
LON_DIR	LON_DIR
LON_ISL22	LON_ISL22
LON_LAN	LON_LAN
LOS_ANG	LOS_ANG
LOU_BUL	University of Louisville
LOU_CAJ	University of Louisiana at Lafayette
LOU_CAR	University of Louisiana Monroe
LOU_CHR	LOU_CHR
LOU_COL	LOU_COL
LOU_STA1	LOU_STA1
LOW_COL	LOW_COL
LOY_LIO	LOY_LIO
LOY_UNI	LOY_UNI
LSU_TIG	Louisiana State University
LUN_COM	LUN_COM
LYC_COL	LYC_COL
MAD_UNI	MAD_UNI
MAI_BLA	MAI_BLA
MAN_JAS	MAN_JAS
MAN_MOU	MAN_MOU
MAR_BAL	MAR_BAL
MAR_HAR	MAR_HAR
MAR_HAW	MAR_HAW
MAR_LIO	MAR_LIO
MAR_RED	MAR_RED
MAR_SAI	MAR_SAI
MAR_SCT	MAR_SCT
MAR_TER	MAR_TER
MAR_THU	MAR_THU
MAR_UNI3	MAR_UNI3
MCK_MCK	MCK_MCK
MCN_COW	MCN_COW
MCP_COL	MCP_COL
MEN_COL	MEN_COL
MER_BEA	MER_BEA
MER_COL1	MER_COL1
MER_COL2	MER_COL2
MER_UNI	MER_UNI
MEX_LOB	MEX_LOB
MIA_HUR	University of Miami
MIA_RED	Miami University
MIC_SPA	MIC_SPA
MIC_WOL	MIC_WOL
MID_COL	MID_COL
MID_GEO	MID_GEO
MID_NAZ	MID_NAZ
MIL_UNI	MIL_UNI
MIL_UNI2	MIL_UNI2
MIL_UNI3	MIL_UNI3
MIN_GOL	University of Minnesota Twin Cities
MIS_BAP	MIS_BAP
MIS_BEA	Missouri State University
MIS_COL1	MIS_COL1
MIS_DEL	MIS_DEL
MIS_DEL1	MIS_DEL1
MIS_GUL	MIS_GUL
MIS_UNI	MIS_UNI
MIZ_TIG	University of Missouri
MOL_COL	MOL_COL
MON_HAW	MON_HAW
MOR_EAG	MOR_EAG
MOT_COM	MOT_COM
MOU_OLV	MOU_OLV
MOY_MOY	MOY_MOY
MSA_M	MSA_M
MSM_MTN	MSM_MTN
MSU_BDG	MSU_BDG
MT	MT
MTSU_BLU	Middle Tennessee State University
MUR_RAC	MUR_RAC
NAV_COL	NAV_COL
NAV_MID	NAV_MID
NCA_BUL	NCA_BUL
NCB	North Carolina A&T State University
NEB	University of Nebraska Lincoln
NEV_WOL	NEV_WOL
NEW_COL	NEW_COL
NEW_HAV	NEW_HAV
NEW_PRI	University of New Orleans
NEW_WLV	NEW_WLV
NIA_EAG	NIA_EAG
NIC_COL	NIC_COL
NIU_HUS	Northern Illinois University
NJI_HIG	NJI_HIG
NMS_AGG	New Mexico State University
NOF_OSP	NOF_OSP
NOK_NOR	NOK_NOR
NOR_AGG	NOR_AGG
NOR_BIS	NOR_BIS
NOR_CAT	NOR_CAT
NOR_DEM	NOR_DEM
NOR_GEO3	NOR_GEO3
NOR_GRE	NOR_GRE
NOR_HUS	NOR_HUS
NOR_MIS	NOR_MIS
NOR_SPA	NOR_SPA
NOR_TAR	NOR_TAR
NOR_UNI	NOR_UNI
NOR_WOL	NOR_WOL
NOT_IRI	University of Notre Dame
NOV_SOU	NOV_SOU
NUN_PEL	NUN_PEL
OAK_GOL	Oakland University
ODE_COL	ODE_COL
OHI_BOB	OHI_BOB
OHI_DOM	OHI_DOM
OHL_COL	OHL_COL
OKL_COW	Oklahoma State University
OKL_SOO	University of Oklahoma
OKL_WES	OKL_WES
OLD_MON	OLD_MON
OLE_REB	University of Mississippi
ORA_COA	ORA_COA
ORA_GOL	ORA_GOL
ORE_BEA	Oregon State University
ORE_DUC	University of Oregon
OSU_BUC	OSU_BUC
OSW_STA	OSW_STA
OUR_LAD	OUR_LAD
PAC_LUT	PAC_LUT
PAC_TIG	University of the Pacific
PAN_COL	PAN_COL
PAR_JUN	PAR_JUN
PAT_HEN	PAT_HEN
PEA_RIV	PEA_RIV
PEN_HAR	PEN_HAR
PEN_NIT	Pennsylvania State University
PEN_QUA	PEN_QUA
PEP_WAV	Pepperdine University
PER_BAS6	PER_BAS6
PIE_BUL	PIE_BUL
PIT_PAN	University of Pittsburgh
POI_LOM	POI_LOM
POM_COL	POM_COL
POR_PIL	POR_PIL
PRA_PAN	PRA_PAN
PRE_BLH	PRE_BLH
PRI_TIG	PRI_TIG
PUG_SOU	PUG_SOU
PUR_BOI	Purdue University
QUI_BOB	Quinnipiac University
QUI_HAW	QUI_HAW
QUN_RYL	QUN_RYL
RAD_HIG	RAD_HIG
RED_UNI	RED_UNI
REI_UNI	REI_UNI
RHO_COL	RHO_COL
RHO_RAM	RHO_RAM
RICA	RICA
RIC_BLA	RIC_BLA
RIC_OWL	Rice University
RIC_SPI	University of Richmond
RID_BRO	RID_BRO
RUT_SCA	Rutgers University New Brunswick
SAC_HOR	California State University, Sacramento
SAC_PIO	SAC_PIO
SAL_JAG	University of South Alabama
SAL_REG	SAL_REG
SAM_BEA	SAM_BEA
SAM_BUL	Samford University
SAN_AZT	San Diego State University
SAN_BAR1	SAN_BAR1
SAN_BRO	SAN_BRO
SAN_DON	University of San Diego
SAN_GAU	SAN_GAU
SAN_JAC	SAN_JAC
SAN_SPA	SAN_SPA
SAN_TOR	SAN_TOR
SAU_VAL1	SAU_VAL1
SBU_SEA	SBU_SEA
SCC_C	SCC_C
SEA_RED	Seattle University
SET_HIL	SET_HIL
SET_PIR	SET_PIR
SHE_UNI	SHE_UNI
SHE_UNI1	SHE_UNI1
SHI_UNI	SHI_UNI
SHO_UNI	SHO_UNI
SIE_HEI	SIE_HEI
SIE_SAI	SIE_SAI
SIM_UNI	SIM_UNI
SIU_SAL	Southern Illinois University Carbondale
SLC_CCB	SLC_CCB
SLU_BILL	Saint Louis University
SOU_ARK2	SOU_ARK2
SOU_COM1	SOU_COM1
SOU_COU	SOU_COU
SOU_GAM	University of South Carolina
SOU_GOL	SOU_GOL
SOU_IND16	SOU_IND16
SOU_JAC	SOU_JAC
SOU_JAG	SOU_JAG
SOU_LIO	Southeastern Louisiana University
SOU_MIS	University of Southern Mississippi
SOU_ORE	SOU_ORE
SOU_RED	SOU_RED
SOU_SOU8	SOU_SOU8
SOU_TRO	SOU_TRO
SOU_UNI	SOU_UNI
SOU_UNI1	SOU_UNI1
SOU_WES	SOU_WES
SOU_WES1	SOU_WES1
SPA_MET	SPA_MET
SPU_PEA	SPU_PEA
STA_CAR	STA_CAR
STB_BON	STB_BON
STE_HAT	STE_HAT
STE_INS	STE_INS
STE_LUM	STE_LUM
STE_MUS	STE_MUS
STJ_HAW	Saint Joseph's University
STJ_RED	St. John's University
STM_GAE	Saint Mary's College of California
STM_RAT	STM_RAT
STO_COL	STO_COL
STU_BOB	STU_BOB
SUL_ROS	SUL_ROS
SUS_UNI	SUS_UNI
TAM_SPA	TAM_SPA
TAR_TEX	TAR_TEX
TCU_HFG	Texas Christian University
TEM_LEO	TEM_LEO
TEN_SOU	TEN_SOU
TEN_TEC	Tennessee Technological University
TEN_VOL	University of Tennessee
TEN_WES	TEN_WES
TEX_A&M	TEX_AM
TEX_A&M1	TEX_AM1
TEX_A&M2	TEX_AM2
TEX_AGG	Texas A&M University
TEX_BOB	Texas State University
TEX_ISL	TEX_ISL
TEX_LON	TEX_LON
TEX_RAI	Texas Tech University
TEX_TIG	TEX_TIG
THO_M	THO_M
THO_MOR	THO_MOR
TJC_APA	TJC_APA
TNU	TNU
TOL_ROC	University of Toledo
TOU_COL	TOU_COL
TOW_TIG	TOW_TIG
TRE_VAL	TRE_VAL
TRI_UNI	TRI_UNI
TRO_T	TRO_T
TRO_TRJ	Troy University
TRU_MCC	TRU_MCC
TUF_UNI	TUF_UNI
TUL_GRE	TUL_GRE
TUS_PIO	TUS_PIO
TUS_TUS	TUS_TUS
TeamX	TEAMX
UAB_BLA	The University of Alabama at Birmingham
UCF_KNI	University of Central Florida
UCLA	University of California, Los Angeles
UCO_HUS	UCO_HUS
UIC_FLA	University of Illinois Chicago
ULM_WAR	University of Louisiana Monroe
UMA_AMH	UMA_AMH
UMA_BOS	UMA_BOS
UMBC_RET	UMBC_RET
UNC_PEM	The University of North Carolina at Pembroke
UNC_SEA	University of North Carolina Wilmington
UNC_SPA	The University of North Carolina at Greensboro
UNI_BRI	UNI_BRI
UNI_COM	UNI_COM
UNI_MON	UNI_MON
UNI_PIK	UNI_PIK
UNI_TEX	UNI_TEX
UNI_THE1	UNI_THE1
UNI_THE2	UNI_THE2
UNI_WES	UNI_WES
UNI_WES1	UNI_WES1
UNI_WIS	UNI_WIS
UNL_REB	University of Nevada, Las Vegas
UNO_MAV	UNO_MAV
USC_BEA	USC_BEA
USC_LAN	USC_LAN
USC_PAC	USC_PAC
USC_UPS	University of South Carolina Upstate
USF_BUL	University of South Florida
UTA_UTE	The University of Texas at Austin
UTA_WOL	UTA_WOL
UTM_SKY	UTM_SKY
UTR_VAQ	The University of Texas Rio Grande Valley
UTS_ROA	UTS_ROA
UW-_TIT	UW_TIT
UWM_PAN	UWM_PAN
VAL_BLA	VAL_BLA
VAL_CRU	VAL_CRU
VAN_COM	VAN_COM
VAN_UNI	VAN_UNI
VCU_RAM	Virginia Commonwealth University
VEN_COL	VEN_COL
VIL_WIL	Villanova University
VIR_CAV	University of Virginia
VIR_KEY	VIR_KEY
VIR_TEC	Virginia Polytechnic Institute and State University
VIR_WIS	VIR_WIS
WAB_VAL	WAB_VAL
WAG_SEA	WAG_SEA
WAK_DEA	Wake Forest University
WAR_COL	WAR_COL
WAR_UNI1	WAR_UNI1
WAS_COU	WAS_COU
WAS_HUS	University of Washington
WAS_UNI	WAS_UNI
WCC	West Coast Conference
WES_COL	WES_COL
WES_FLO5	WES_FLO5
WES_HIL	WES_HIL
WES_MOU	WES_MOU
WES_TEX	WES_TEX
WES_VIR4	WES_VIR4
WHI_COL	WHI_COL
WHI_COL1	WHI_COL1
WHI_PIR	WHI_PIR
WIC_SHO	Wichita State University
WIL_BAP	WIL_BAP
WIL_CAR	WIL_CAR
WIL_JEW	WIL_JEW
WIL_UNI1	WIL_UNI1
WIL_WOO	WIL_WOO
WIN_BUL	WIN_BUL
WIN_EAG	WIN_EAG
WIU_LEA	WIU_LEA
WMI_BRO	WMI_BRO
WM_TRI	WM_TRI
WOF_TER	Wofford College
WRI_RAI	Wright State University
Wal_Sen	WAL_SEN
XAV_MUS	Xavier University
YAL_BUL	YAL_BUL
YOR_COL	YOR_COL
YOU_HAR	YOU_HAR
YSU_PEN	Youngstown State University
